Class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.374108613,0.702226996,-0.002793301,0.999552667,0.355755329,0.701667309,-0.029695082,0.999631286,0.354175806,0.696943641,-0.029654309,0.999639273,0.352356583,0.692160487,-0.029690038,0.999663234,0.356330752,0.702023745,0.015588696,0.999735892,0.355191648,0.697802305,0.01556504,0.999736845,0.353700936,0.693698525,0.015619227,0.999721825,0.344642282,0.647019506,-0.10533306,0.999393463,0.344560742,0.648379207,0.104384422,0.999633193,0.382412434,0.673231721,-0.025115004,0.998665452,0.383672506,0.673545182,0.03559247,0.998495936,0.37902981,0.559069574,-0.160893187,0.998631179,0.380965352,0.536918104,0.193790287,0.996017754,0.273003072,0.740817904,-0.313459635,0.987897813,0.277200192,0.691605568,0.261197627,0.230081812,0.150044173,0.871088505,-0.259483457,0.975897014,0.185770065,0.808739543,0.124043182,0.434245318,0.114047326,0.888645649,-0.307132691,0.964579105,0.153755575,0.82393831,0.120494358,0.54332304,0.106900208,0.879420638,-0.266155303,0.957598627,0.148427546,0.826236248,0.089229263,0.542773366,0.120512158,0.871966839,-0.245145977,0.949248433,0.157165468,0.825258851,0.106017917,0.548070252,0.60496974,0.129556596,-0.162020802,0.998011351,0.596748412,0.145367622,0.162369162,0.99761641,0.69890368,0.516882062,-0.135487691,0.984279215,0.682883978,0.499672592,0.161302894,0.228900447,0.865254879,0.805539131,-0.116137832,0.982672572,0.843702734,0.777319431,0.224421814,0.367086649,0.900841057,0.846003771,-0.122824065,0.979232192,0.875573635,0.819430172,0.224578828,0.436209559,0.791264355,0.929610133,-0.247933358,0.976545751,0.771811724,0.90941,0.153455123,0.51319468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.717093706,0.550649285,-0.0290595,0.999549448,0.728736877,0.533546269,-0.013129462,0.999511361,0.728310764,0.531077802,-0.013203049,0.99967885,0.727965117,0.528330803,-0.013240415,0.999624729,0.728201509,0.533103347,-0.04784172,0.999435365,0.727499723,0.530361414,-0.047992621,0.999571741,0.726885676,0.527350187,-0.048114188,0.999459326,0.716891229,0.504252434,0.052573994,0.999514222,0.715338051,0.50539732,-0.107222341,0.999332249,0.703286231,0.546180487,0.001608267,0.999490738,0.70393002,0.545283318,-0.045673672,0.999271214,0.666409373,0.469820499,0.146942437,0.995401382,0.665157259,0.489168763,-0.160244539,0.999257863,0.731464624,0.579958558,0.218953386,0.320440352,0.735819101,0.603008747,-0.295989513,0.994326293,0.795143247,0.656647503,0.060120158,0.640815437,0.827710271,0.700286269,-0.296091616,0.995919585,0.818894804,0.660799861,0.081636257,0.846555471,0.851742029,0.708949566,-0.348706633,0.987996995,0.823543012,0.661910176,0.029837379,0.859530151,0.855471909,0.699986339,-0.297846645,0.978738964,0.81561631,0.661710322,0.040855788,0.842587829,0.848276258,0.696252346,-0.278189063,0.963239729,0.485800952,0.267466277,0.132071123,0.999225378,0.474396795,0.262364984,-0.131816432,0.99957484,0.387102604,0.467311531,0.187378705,0.400335044,0.364504784,0.468028694,-0.053611517,0.999455273,0.323889047,0.614518166,0.291343272,0.825623155,0.280126274,0.663532555,0.000455659,0.999395967,0.30023092,0.649607956,0.29845351,0.893144608,0.256761372,0.684787035,-0.004549702,0.999371707,0.370988578,0.666083813,0.228459403,0.953915715,0.34521386,0.698153555,-0.11633008,0.999268353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.530452788,0.609435558,-0.027563207,0.999827504,0.514852405,0.625974357,-0.052414544,0.999902844,0.511587918,0.624626279,-0.052394714,0.999900222,0.508017242,0.622710943,-0.052420773,0.999905944,0.51481092,0.628734648,-0.016200297,0.999914765,0.511809289,0.629620373,-0.016176512,0.999902606,0.508693516,0.63015914,-0.01609589,0.999902725,0.489069343,0.602372587,-0.120161377,0.999841213,0.493711084,0.609353721,0.050566513,0.999835253,0.525309563,0.585913539,-0.043861028,0.99972266,0.527192175,0.590738595,0.005410498,0.999623179,0.482048631,0.508812547,-0.13109526,0.999671459,0.499673545,0.522558331,0.111135349,0.998758674,0.418450564,0.653089762,-0.287030816,0.994092166,0.440895587,0.647877336,0.214608341,0.401429951,0.327626616,0.777002335,-0.247935668,0.984731197,0.371305019,0.734969854,0.079135895,0.647435188,0.300448149,0.800041974,-0.282926261,0.976131976,0.328532398,0.748904645,0.077112839,0.756931424,0.292241931,0.792760074,-0.245216906,0.971217096,0.330526263,0.755301893,0.037327159,0.758978724,0.303374499,0.787164092,-0.232402891,0.959360957,0.347862273,0.750984311,0.06194184,0.740582228,0.662043273,0.283640176,-0.113408118,0.998957157,0.659348786,0.303786397,0.113707438,0.998190343,0.76917541,0.502710462,-0.092674159,0.983672321,0.751843095,0.499116153,0.141429454,0.337250173,0.848456264,0.732765257,-0.08743149,0.987591743,0.826243043,0.70735389,0.212751091,0.589871287,0.881515563,0.763751507,-0.093771495,0.984274685,0.851114154,0.739545107,0.215939239,0.622230947,0.809577167,0.803919375,-0.190493211,0.982411444,0.794262767,0.786300004,0.160099164,0.715034902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.492331803,0.671926022,-0.028161164,0.999982595,0.507565379,0.689302325,-0.019242765,0.999979019,0.509835482,0.687362075,-0.019212049,0.999986291,0.512403786,0.684471428,-0.019144515,0.999977708,0.506578922,0.6900599,-0.056148224,0.999969006,0.507774413,0.68902266,-0.056335032,0.999981165,0.508935392,0.687412858,-0.05635684,0.999971032,0.52529788,0.643809021,0.032741979,0.999971151,0.515600264,0.657734036,-0.141557187,0.999980569,0.488804877,0.644631147,-0.000562539,0.999973178,0.487533569,0.644775391,-0.051337648,0.999975204,0.51877439,0.52700448,0.104575194,0.999874234,0.494244099,0.560911298,-0.14667815,0.999954343,0.592535496,0.634192109,0.234418422,0.566784799,0.565626144,0.722934723,-0.300811768,0.999225259,0.665949583,0.717510223,0.075581916,0.851910114,0.663702965,0.827820241,-0.267642081,0.999662995,0.692383289,0.726891994,0.085343413,0.946641743,0.695943058,0.855876148,-0.293289334,0.9983657,0.693422198,0.73940444,0.041369662,0.950474024,0.699057937,0.833602369,-0.246930242,0.997020543,0.684083939,0.73977989,0.058526613,0.938398004,0.688352346,0.817431629,-0.246440217,0.994437695,0.334679872,0.247514322,0.105256975,0.99967134,0.314256191,0.241362184,-0.105361819,0.999843359,0.2621288,0.482323974,0.199595138,0.341378063,0.242564127,0.489768803,0.030354355,0.997321904,0.185876235,0.681172609,0.304519236,0.814953029,0.164360434,0.72164613,0.111509815,0.997923076,0.170625284,0.70970583,0.309244335,0.912847877,0.137729928,0.763285935,0.107680514,0.998891532,0.246191785,0.768650055,0.24504599,0.966295779,0.221395776,0.794302702,0.023327479,0.998666406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.44247815,0.73360014,-0.005511221,0.999555528,0.428812027,0.751636028,-0.034616455,0.999690652,0.427044243,0.75034827,-0.034567799,0.999717772,0.425379515,0.748724759,-0.034553498,0.999688506,0.429207355,0.752164841,0.01009021,0.999760926,0.427703708,0.751355469,0.010127514,0.999768794,0.42607227,0.750163555,0.010172128,0.999733269,0.410859734,0.718063116,-0.120120369,0.999562085,0.411082089,0.71755594,0.084789656,0.999607623,0.440998942,0.70766288,-0.031320073,0.999082088,0.442899376,0.708238006,0.027986726,0.998985231,0.402556479,0.630246878,-0.185383067,0.998839557,0.404344738,0.601907134,0.168037981,0.997742891,0.344109029,0.804907441,-0.381566912,0.991590619,0.347789913,0.750285566,0.25139758,0.379628897,0.271534979,0.91348058,-0.383613706,0.980624259,0.285452068,0.838068128,0.080772124,0.620160043,0.241516978,0.936904311,-0.431135893,0.969351411,0.260032088,0.847901702,0.076716028,0.733005822,0.23683548,0.920330346,-0.397983342,0.963329852,0.258825511,0.851445794,0.032056279,0.746097326,0.247909367,0.909490108,-0.371371299,0.950384855,0.267180979,0.85129261,0.059593912,0.73725915,0.529470325,0.253713012,-0.144021809,0.994806945,0.532441974,0.239250705,0.144469976,0.993858635,0.634455681,0.55071044,-0.105802476,0.977420509,0.631132603,0.53980124,0.149604857,0.213677436,0.723746181,0.822286129,-0.064278558,0.987086892,0.717433751,0.803912401,0.237699747,0.399579614,0.751283288,0.860251188,-0.068038829,0.990779877,0.742309093,0.847861886,0.240173265,0.50715965,0.668025136,0.913504601,-0.195829168,0.985025108,0.661494732,0.888546944,0.156190306,0.541872561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.466099322,0.684544921,0.005840906,0.999687076,0.448684782,0.695254445,-0.020835746,0.99978286,0.44607985,0.693184137,-0.020786498,0.99979347,0.443418592,0.69060123,-0.020773362,0.999792278,0.449350625,0.694951415,0.018879846,0.999820292,0.447327614,0.693138003,0.018893624,0.999817669,0.445112109,0.690776587,0.018949268,0.999810636,0.430292398,0.659689248,-0.099577814,0.999584734,0.433278203,0.660656095,0.083719976,0.999600232,0.467326671,0.661550283,-0.016584629,0.999071002,0.469259173,0.662255883,0.036428191,0.998875558,0.440364867,0.584003091,-0.146065503,0.997778952,0.449930459,0.573081076,0.161268622,0.993537128,0.377785087,0.718399882,-0.317199081,0.991763711,0.386773884,0.689055681,0.257404447,0.168033078,0.300842375,0.854785919,-0.264013976,0.978766024,0.319840759,0.809279442,0.097172767,0.395467609,0.27174443,0.861442745,-0.30087325,0.967695534,0.294887453,0.818751276,0.095903911,0.580564916,0.268114984,0.857127726,-0.255398691,0.960888982,0.293217391,0.825318933,0.052499238,0.592943132,0.277316511,0.855989337,-0.245119169,0.946530461,0.302111775,0.825339437,0.07697618,0.592508316,0.631265223,0.321965814,-0.123900801,0.99467355,0.631290674,0.327118546,0.124267347,0.993118048,0.708352029,0.567679644,-0.067059912,0.972873986,0.702905834,0.556803882,0.137078583,0.268860757,0.802486241,0.788143456,-0.030684199,0.982683182,0.788860559,0.756992698,0.224169061,0.487485528,0.833259523,0.824165583,-0.035199497,0.980636537,0.815323114,0.78938055,0.228115231,0.548058271,0.745118499,0.851715922,-0.139836952,0.975964248,0.735109091,0.82894969,0.160812199,0.627710462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.359103352,0.745867491,-0.03028843,0.998397887,0.345235109,0.755830228,-0.065075681,0.998976946,0.344131202,0.754166663,-0.065086178,0.999112785,0.343030334,0.752737164,-0.065123037,0.999073625,0.344912171,0.75538379,-0.016100548,0.999036789,0.343772769,0.753206909,-0.01606784,0.999002993,0.342589736,0.751163006,-0.016027944,0.998846054,0.332034081,0.727400184,-0.159262672,0.998698115,0.331649363,0.724718571,0.06753201,0.998224437,0.361767054,0.724698961,-0.056998353,0.996747136,0.362416178,0.724569321,0.008714824,0.99605763,0.337053061,0.635728121,-0.227967322,0.998119056,0.343464851,0.627306581,0.175510347,0.992394447,0.280410975,0.803557277,-0.443302751,0.98909086,0.293648243,0.777430654,0.263073504,0.117677428,0.180267721,0.925246716,-0.427968442,0.967566609,0.222345397,0.861489892,0.06574323,0.266252786,0.154637784,0.938318014,-0.481473804,0.954006314,0.190974742,0.875963867,0.06218417,0.437446088,0.149434805,0.931695402,-0.439697772,0.94487834,0.187889367,0.876827061,0.013293238,0.451406598,0.157033175,0.927276611,-0.412103534,0.922912657,0.196024865,0.875774562,0.041540489,0.459537745,0.52834481,0.344115227,-0.158902839,0.996713996,0.527350903,0.339132726,0.1594439,0.994346201,0.627400339,0.600966334,-0.120948754,0.972722054,0.62458241,0.596943021,0.173351571,0.235320762,0.729488134,0.84675765,-0.091195934,0.985202253,0.72161752,0.82663548,0.256181031,0.353347301,0.754419744,0.884285033,-0.09733846,0.986777008,0.746446848,0.870568693,0.259070158,0.455563426,0.662266731,0.908603847,-0.235968962,0.980238438,0.655454457,0.896905661,0.175514296,0.476794183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.398281634,0.68240869,-0.028330212,0.999402285,0.383419454,0.682615519,-0.056775559,0.999500632,0.382728577,0.679412961,-0.056734897,0.999559462,0.382066339,0.675686657,-0.056758549,0.999516606,0.383727849,0.681598067,-0.01529799,0.999634743,0.383206069,0.678102076,-0.015301799,0.999667287,0.382651359,0.674180925,-0.015247727,0.999637365,0.381503224,0.639298439,-0.13673763,0.999290347,0.381452858,0.638177633,0.055079054,0.999599159,0.408367634,0.661023021,-0.05060415,0.99866426,0.409660846,0.660405159,0.00500131,0.998638809,0.409371972,0.567496538,-0.178314373,0.998413801,0.415073007,0.550927877,0.142275766,0.996507943,0.324482709,0.698830128,-0.31619975,0.991631567,0.328680754,0.672959566,0.233366653,0.383920878,0.232330456,0.819356084,-0.272069335,0.986251235,0.256632,0.767828166,0.086942978,0.745437086,0.209532142,0.829018176,-0.314072549,0.978686631,0.232776746,0.778948009,0.086938426,0.831171215,0.204803556,0.821000457,-0.273986995,0.973706067,0.230325192,0.781341076,0.047387995,0.837748587,0.212465584,0.818124294,-0.2558828,0.964465201,0.237032235,0.780249178,0.068354107,0.832546771,0.593924463,0.253668606,-0.130815566,0.997100651,0.59103018,0.256651938,0.131124288,0.997034788,0.671702027,0.52252996,-0.03540099,0.981755614,0.669544339,0.525732398,0.196982175,0.240250573,0.763123751,0.766340315,0.062209047,0.984966815,0.750276208,0.739938021,0.334305882,0.485087752,0.788160563,0.803147316,0.064861812,0.981286824,0.776079535,0.789621055,0.344059289,0.575098753,0.698791742,0.821078122,-0.028484404,0.976850867,0.688613296,0.811483681,0.295056462,0.638404191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.441655278,0.745291591,-0.042394329,0.999834299,0.429763198,0.750305951,-0.068325348,0.999868155,0.428268522,0.749140978,-0.068280995,0.999872804,0.426754475,0.747805834,-0.068282992,0.999865055,0.429404795,0.750241637,-0.027700352,0.999910355,0.427821994,0.749192953,-0.027641011,0.999906659,0.426223636,0.74806577,-0.027505074,0.999890804,0.419228584,0.730621934,-0.137017369,0.999804437,0.420339108,0.730582118,0.051340126,0.999856949,0.443576574,0.732249558,-0.061557792,0.999669909,0.444633543,0.732673168,-0.006725351,0.999702513,0.427711844,0.683878124,-0.184441611,0.999696493,0.43134281,0.67657268,0.147607744,0.998986423,0.358241946,0.754146516,-0.358619124,0.994846463,0.360819012,0.738669813,0.23618941,0.352447659,0.266360104,0.801631927,-0.342067629,0.990781605,0.289606631,0.777800679,0.044014711,0.724768758,0.236346662,0.811062932,-0.389306933,0.984398961,0.262109578,0.779110372,0.039353766,0.834339678,0.22987473,0.805550635,-0.349653453,0.980620444,0.259050339,0.781157672,-0.007785325,0.844345272,0.238415241,0.803005815,-0.327175379,0.972782731,0.266594917,0.782598615,0.021582248,0.841111302,0.583009422,0.516020954,-0.140494704,0.997806728,0.578210711,0.519392967,0.140755206,0.996689022,0.619017184,0.661917865,-0.09157905,0.986341536,0.62037003,0.657981694,0.195450589,0.214138538,0.739008188,0.758607209,0.016639875,0.988269091,0.724796772,0.748396218,0.328297496,0.388837457,0.771651864,0.766774118,0.020096697,0.987515569,0.750143647,0.757312417,0.335149735,0.498862833,0.691348255,0.793288589,-0.05006855,0.98451829,0.684247255,0.787368715,0.296883821,0.584993422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.315754265,0.580669761,0.030682059,0.999314666,0.297111362,0.589549124,-0.008523835,0.999479353,0.294008851,0.58834374,-0.008553385,0.999493599,0.290764391,0.586637139,-0.008632665,0.999501944,0.297754794,0.589153528,0.042082593,0.999552429,0.295322567,0.588385284,0.042095292,0.999509215,0.292741746,0.587278426,0.042082179,0.999506712,0.271859854,0.562077522,-0.116696857,0.999168396,0.278166562,0.563980341,0.116934098,0.999477446,0.314785838,0.559488833,0.001856611,0.998547494,0.316893011,0.561079621,0.069710463,0.998392999,0.281654954,0.491691738,-0.197330385,0.999278963,0.30366528,0.48439759,0.236389562,0.997469068,0.227590084,0.656348228,-0.387902111,0.995288134,0.241934389,0.609016478,0.353790134,0.217131943,0.141441315,0.811916113,-0.318570137,0.983688235,0.180289656,0.729475141,0.174382865,0.410739124,0.097833663,0.833072543,-0.366428643,0.975034535,0.148173869,0.743403018,0.178536013,0.557661533,0.094081551,0.82202661,-0.315456003,0.969728351,0.142398119,0.750691354,0.125472337,0.570137203,0.110674493,0.814341307,-0.297636181,0.960021377,0.152636677,0.75339663,0.14884913,0.575850368,0.558420718,0.272874385,-0.177453056,0.998823225,0.552122295,0.277468681,0.177913725,0.99795711,0.739181757,0.500299156,-0.144205764,0.972145319,0.717365623,0.492480069,0.192450404,0.254453212,0.879803777,0.725459576,-0.096282966,0.958328307,0.861151457,0.701422811,0.238678023,0.259623259,0.921907663,0.776967049,-0.097645238,0.957316995,0.88778913,0.736432195,0.237706244,0.334614187,0.811714649,0.813392043,-0.189683869,0.945296049,0.797911048,0.780928373,0.156924888,0.375384569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
