Class,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.374108613,0.702226996,0.355755329,0.701667309,0.354175806,0.696943641,0.352356583,0.692160487,0.356330752,0.702023745,0.355191648,0.697802305,0.353700936,0.693698525,0.344642282,0.647019506,0.344560742,0.648379207,0.382412434,0.673231721,0.383672506,0.673545182,0.37902981,0.559069574,0.380965352,0.536918104,0.273003072,0.740817904,0.277200192,0.691605568,0.150044173,0.871088505,0.185770065,0.808739543,0.114047326,0.888645649,0.153755575,0.82393831,0.106900208,0.879420638,0.148427546,0.826236248,0.120512158,0.871966839,0.157165468,0.825258851,0.60496974,0.129556596,0.596748412,0.145367622,0.69890368,0.516882062,0.682883978,0.499672592,0.865254879,0.805539131,0.843702734,0.777319431,0.900841057,0.846003771,0.875573635,0.819430172,0.791264355,0.929610133,0.771811724,0.90941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.717093706,0.550649285,0.728736877,0.533546269,0.728310764,0.531077802,0.727965117,0.528330803,0.728201509,0.533103347,0.727499723,0.530361414,0.726885676,0.527350187,0.716891229,0.504252434,0.715338051,0.50539732,0.703286231,0.546180487,0.70393002,0.545283318,0.666409373,0.469820499,0.665157259,0.489168763,0.731464624,0.579958558,0.735819101,0.603008747,0.795143247,0.656647503,0.827710271,0.700286269,0.818894804,0.660799861,0.851742029,0.708949566,0.823543012,0.661910176,0.855471909,0.699986339,0.81561631,0.661710322,0.848276258,0.696252346,0.485800952,0.267466277,0.474396795,0.262364984,0.387102604,0.467311531,0.364504784,0.468028694,0.323889047,0.614518166,0.280126274,0.663532555,0.30023092,0.649607956,0.256761372,0.684787035,0.370988578,0.666083813,0.34521386,0.698153555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.530452788,0.609435558,0.514852405,0.625974357,0.511587918,0.624626279,0.508017242,0.622710943,0.51481092,0.628734648,0.511809289,0.629620373,0.508693516,0.63015914,0.489069343,0.602372587,0.493711084,0.609353721,0.525309563,0.585913539,0.527192175,0.590738595,0.482048631,0.508812547,0.499673545,0.522558331,0.418450564,0.653089762,0.440895587,0.647877336,0.327626616,0.777002335,0.371305019,0.734969854,0.300448149,0.800041974,0.328532398,0.748904645,0.292241931,0.792760074,0.330526263,0.755301893,0.303374499,0.787164092,0.347862273,0.750984311,0.662043273,0.283640176,0.659348786,0.303786397,0.76917541,0.502710462,0.751843095,0.499116153,0.848456264,0.732765257,0.826243043,0.70735389,0.881515563,0.763751507,0.851114154,0.739545107,0.809577167,0.803919375,0.794262767,0.786300004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.492331803,0.671926022,0.507565379,0.689302325,0.509835482,0.687362075,0.512403786,0.684471428,0.506578922,0.6900599,0.507774413,0.68902266,0.508935392,0.687412858,0.52529788,0.643809021,0.515600264,0.657734036,0.488804877,0.644631147,0.487533569,0.644775391,0.51877439,0.52700448,0.494244099,0.560911298,0.592535496,0.634192109,0.565626144,0.722934723,0.665949583,0.717510223,0.663702965,0.827820241,0.692383289,0.726891994,0.695943058,0.855876148,0.693422198,0.73940444,0.699057937,0.833602369,0.684083939,0.73977989,0.688352346,0.817431629,0.334679872,0.247514322,0.314256191,0.241362184,0.2621288,0.482323974,0.242564127,0.489768803,0.185876235,0.681172609,0.164360434,0.72164613,0.170625284,0.70970583,0.137729928,0.763285935,0.246191785,0.768650055,0.221395776,0.794302702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.44247815,0.73360014,0.428812027,0.751636028,0.427044243,0.75034827,0.425379515,0.748724759,0.429207355,0.752164841,0.427703708,0.751355469,0.42607227,0.750163555,0.410859734,0.718063116,0.411082089,0.71755594,0.440998942,0.70766288,0.442899376,0.708238006,0.402556479,0.630246878,0.404344738,0.601907134,0.344109029,0.804907441,0.347789913,0.750285566,0.271534979,0.91348058,0.285452068,0.838068128,0.241516978,0.936904311,0.260032088,0.847901702,0.23683548,0.920330346,0.258825511,0.851445794,0.247909367,0.909490108,0.267180979,0.85129261,0.529470325,0.253713012,0.532441974,0.239250705,0.634455681,0.55071044,0.631132603,0.53980124,0.723746181,0.822286129,0.717433751,0.803912401,0.751283288,0.860251188,0.742309093,0.847861886,0.668025136,0.913504601,0.661494732,0.888546944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.466099322,0.684544921,0.448684782,0.695254445,0.44607985,0.693184137,0.443418592,0.69060123,0.449350625,0.694951415,0.447327614,0.693138003,0.445112109,0.690776587,0.430292398,0.659689248,0.433278203,0.660656095,0.467326671,0.661550283,0.469259173,0.662255883,0.440364867,0.584003091,0.449930459,0.573081076,0.377785087,0.718399882,0.386773884,0.689055681,0.300842375,0.854785919,0.319840759,0.809279442,0.27174443,0.861442745,0.294887453,0.818751276,0.268114984,0.857127726,0.293217391,0.825318933,0.277316511,0.855989337,0.302111775,0.825339437,0.631265223,0.321965814,0.631290674,0.327118546,0.708352029,0.567679644,0.702905834,0.556803882,0.802486241,0.788143456,0.788860559,0.756992698,0.833259523,0.824165583,0.815323114,0.78938055,0.745118499,0.851715922,0.735109091,0.82894969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.359103352,0.745867491,0.345235109,0.755830228,0.344131202,0.754166663,0.343030334,0.752737164,0.344912171,0.75538379,0.343772769,0.753206909,0.342589736,0.751163006,0.332034081,0.727400184,0.331649363,0.724718571,0.361767054,0.724698961,0.362416178,0.724569321,0.337053061,0.635728121,0.343464851,0.627306581,0.280410975,0.803557277,0.293648243,0.777430654,0.180267721,0.925246716,0.222345397,0.861489892,0.154637784,0.938318014,0.190974742,0.875963867,0.149434805,0.931695402,0.187889367,0.876827061,0.157033175,0.927276611,0.196024865,0.875774562,0.52834481,0.344115227,0.527350903,0.339132726,0.627400339,0.600966334,0.62458241,0.596943021,0.729488134,0.84675765,0.72161752,0.82663548,0.754419744,0.884285033,0.746446848,0.870568693,0.662266731,0.908603847,0.655454457,0.896905661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.398281634,0.68240869,0.383419454,0.682615519,0.382728577,0.679412961,0.382066339,0.675686657,0.383727849,0.681598067,0.383206069,0.678102076,0.382651359,0.674180925,0.381503224,0.639298439,0.381452858,0.638177633,0.408367634,0.661023021,0.409660846,0.660405159,0.409371972,0.567496538,0.415073007,0.550927877,0.324482709,0.698830128,0.328680754,0.672959566,0.232330456,0.819356084,0.256632,0.767828166,0.209532142,0.829018176,0.232776746,0.778948009,0.204803556,0.821000457,0.230325192,0.781341076,0.212465584,0.818124294,0.237032235,0.780249178,0.593924463,0.253668606,0.59103018,0.256651938,0.671702027,0.52252996,0.669544339,0.525732398,0.763123751,0.766340315,0.750276208,0.739938021,0.788160563,0.803147316,0.776079535,0.789621055,0.698791742,0.821078122,0.688613296,0.811483681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.441655278,0.745291591,0.429763198,0.750305951,0.428268522,0.749140978,0.426754475,0.747805834,0.429404795,0.750241637,0.427821994,0.749192953,0.426223636,0.74806577,0.419228584,0.730621934,0.420339108,0.730582118,0.443576574,0.732249558,0.444633543,0.732673168,0.427711844,0.683878124,0.43134281,0.67657268,0.358241946,0.754146516,0.360819012,0.738669813,0.266360104,0.801631927,0.289606631,0.777800679,0.236346662,0.811062932,0.262109578,0.779110372,0.22987473,0.805550635,0.259050339,0.781157672,0.238415241,0.803005815,0.266594917,0.782598615,0.583009422,0.516020954,0.578210711,0.519392967,0.619017184,0.661917865,0.62037003,0.657981694,0.739008188,0.758607209,0.724796772,0.748396218,0.771651864,0.766774118,0.750143647,0.757312417,0.691348255,0.793288589,0.684247255,0.787368715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downdog,0.315754265,0.580669761,0.297111362,0.589549124,0.294008851,0.58834374,0.290764391,0.586637139,0.297754794,0.589153528,0.295322567,0.588385284,0.292741746,0.587278426,0.271859854,0.562077522,0.278166562,0.563980341,0.314785838,0.559488833,0.316893011,0.561079621,0.281654954,0.491691738,0.30366528,0.48439759,0.227590084,0.656348228,0.241934389,0.609016478,0.141441315,0.811916113,0.180289656,0.729475141,0.097833663,0.833072543,0.148173869,0.743403018,0.094081551,0.82202661,0.142398119,0.750691354,0.110674493,0.814341307,0.152636677,0.75339663,0.558420718,0.272874385,0.552122295,0.277468681,0.739181757,0.500299156,0.717365623,0.492480069,0.879803777,0.725459576,0.861151457,0.701422811,0.921907663,0.776967049,0.88778913,0.736432195,0.811714649,0.813392043,0.797911048,0.780928373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
